Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SMA0143;Introdução à Teoria da Medida;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;30;3;ICMC -  para toda a Unidade;30;3;35;0;ICMC - Matemática – Bacharelado;35;0;0;0;35;0;BMA
SMA0143;Introdução à Teoria da Medida;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;30;3;;;;35;0;;;;0;0;35;0;BMA
SMA0143;Introdução à Teoria da Medida;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;30;3;;;;35;0;;;;0;0;35;0;BMA
SMA0143;Introdução à Teoria da Medida;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;30;3;;;;35;0;;;;0;0;35;0;BMA
SMA0169;Equações Diferenciais Parciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;40;ICMC - Matemática – Bacharelado;35;22;5;0;ICMC - Matemática – Licenciatura;5;0;0;0;;;;0;0;0;0;Matemática (Bach e  Aplicada)
SMA0169;Equações Diferenciais Parciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;40;ICMC - Bach Mat Aplic Computação Cient;25;18;5;0;;;;0;0;;;;0;0;0;0;Matemática (Bach e  Aplicada)
SMA0169;Equações Diferenciais Parciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;40;;;;5;0;;;;0;0;;;;0;0;0;0;Matemática (Bach e  Aplicada)
SMA0169;Equações Diferenciais Parciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;40;;;;5;0;;;;0;0;;;;0;0;0;0;Matemática (Bach e  Aplicada)
SMA0171;Topologia;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;64;34;ICMC - Matemática – Bacharelado;64;34;1;0;ICMC - Matemática – Licenciatura;1;0;0;0;;;;0;0;0;0;BMA.
SMA0171;Topologia;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;64;34;;;;1;0;;;;0;0;;;;0;0;0;0;BMA.
