Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SME0104;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;71;71;ICMC - Ciências de Computação;71;71;14;14;IFSC - Física Computacional;14;14;0;0;;;;0;0;0;0;BCC-A
SME0104;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;71;71;;;;14;14;;;;0;0;;;;0;0;0;0;BCC-A
SME0104;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;71;71;;;;14;14;;;;0;0;;;;0;0;0;0;BCC-A
SME0104;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;17;ICMC - Ciências de Computação;60;17;10;2;IFSC - Física Computacional;10;2;0;0;;;;0;0;0;0;BCC-B
SME0104;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;17;;;;10;2;;;;0;0;;;;0;0;0;0;BCC-B
SME0104;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;17;;;;10;2;;;;0;0;;;;0;0;0;0;BCC-B
SME0121;Processos Estocásticos;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;70;ICMC - Ciências de Computação;70;70;0;0;;;;0;0;;;;0;0;0;0;BCC-A
SME0121;Processos Estocásticos;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;70;;;;0;0;;;;0;0;;;;0;0;0;0;BCC-A
SME0121;Processos Estocásticos;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;70;;;;0;0;;;;0;0;;;;0;0;0;0;BCC-A
SME0121;Processos Estocásticos;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;29;ICMC - Ciências de Computação;70;29;0;0;;;;0;0;;;;0;0;0;0;BCC-B
SME0121;Processos Estocásticos;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;29;;;;0;0;;;;0;0;;;;0;0;0;0;BCC-B
SME0121;Processos Estocásticos;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;29;;;;0;0;;;;0;0;;;;0;0;0;0;BCC-B
SME0130;Redes Complexas;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;124;124;EESC e ICMC - Engenharia de Computação;6;6;0;0;;;;0;0;0;0;BECD
Certificado em Ciência de Dados
Espelho com disciplina da Pós-Graduação SME5924
SME0130;Redes Complexas;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;124;124;ICMC -  para toda a Unidade;118;118;0;0;;;;0;0;0;0;BECD
Certificado em Ciência de Dados
Espelho com disciplina da Pós-Graduação SME5924
SME0130;Redes Complexas;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;124;124;;;;0;0;;;;0;0;0;0;BECD
Certificado em Ciência de Dados
Espelho com disciplina da Pós-Graduação SME5924
SME0130;Redes Complexas;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;124;124;;;;0;0;;;;0;0;0;0;BECD
Certificado em Ciência de Dados
Espelho com disciplina da Pós-Graduação SME5924
SME0202;Métodos Numéricos em Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;35;19;ICMC - Bach Mat Aplic Computação Cient;35;19;35;15;ICMC - Matemática – Bacharelado;35;15;0;0;;;;0;0;0;0;BMACC/BMA
SME0202;Métodos Numéricos em Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;35;19;;;;35;15;;;;0;0;;;;0;0;0;0;BMACC/BMA
SME0202;Métodos Numéricos em Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;35;19;;;;35;15;;;;0;0;;;;0;0;0;0;BMACC/BMA
SME0205;Métodos do Cálculo Numérico I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;28;ICMC - Matemática – Bacharelado;24;11;0;0;;;;0;0;;;;0;0;0;0;BMA/LMA/BMACC
SME0205;Métodos do Cálculo Numérico I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;28;ICMC - Matemática – Licenciatura;23;0;0;0;;;;0;0;;;;0;0;0;0;BMA/LMA/BMACC
SME0205;Métodos do Cálculo Numérico I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;28;ICMC - Bach Mat Aplic Computação Cient;23;17;0;0;;;;0;0;;;;0;0;0;0;BMA/LMA/BMACC
SME0205;Métodos do Cálculo Numérico I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;28;;;;0;0;;;;0;0;;;;0;0;0;0;BMA/LMA/BMACC
SME0205;Métodos do Cálculo Numérico I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;28;;;;0;0;;;;0;0;;;;0;0;0;0;BMA/LMA/BMACC
SME0214;Fluxos em Redes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;5;ICMC - Bach Mat Aplic Computação Cient;70;5;0;0;;;;0;0;0;0;BMACC
Horários a serem definidos
SME0214;Fluxos em Redes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;5;;;;0;0;;;;0;0;0;0;BMACC
Horários a serem definidos
SME0214;Fluxos em Redes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;5;;;;0;0;;;;0;0;0;0;BMACC
Horários a serem definidos
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;ICMC - Bacharelado em Ciência de Dados;35;20;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;ICMC - Bach Mat Aplic Computação Cient;35;17;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;ICMC - Matemática – Núcleo Geral;2;2;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;ICMC - Bach Mat Aplic Computação Cient;2;2;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
